Region,Province,year,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),"GDP(CNY,B)",Growth Rate of GDP(%),Per capita GDP(CNY),"Fixed Asset Investment(CNY,B)","Total Value of Imports and Exports(CNY,B)",Per Capita Disposable Income(CNY),"Industrial Increase Volume(CNY,B)","Budget Revenue(CNY,B)","Budget Expenditure(CNY,B)","Tax Revenue(CNY,B)",Share of Tax Revenue(%),"Revenue of Government-Managed Funds(CNY,B)","Expenditure of Government-Managed Funds(CNY,B)","Issuance（LGFV Bond）(CNY,B)","Net Financing（LGFV Bond）(CNY,B)","Issuance（Non-Standard Financing）(CNY,B)","Net Financing（Non-Standard Financing）(CNY,B)","Issuance(General Bond)(CNY,B)","Net Financing(General Bond)(CNY,B)","Issuance（Special Bond）(CNY,B)","Net Financing（Special Bond）(CNY,B)",Statistical_Division_Code,Province.Code,Annual_Real_Estate_Investment,Annual_Avg_Property_Price
Baoding,Hebei,2020,17.8753,20.18350584,139.62,157.6506147,70.68429,79.79601,34.9891,395.4296655,5.3,34269,55.24316,4.25128,34112,NA,28.06607,80.21383,16.98112,60.5040891,22.50696,36.24851,NA,NA,NA,NA,NA,NA,NA,NA,130600,130000,7186.825,62616
Baoding,Hebei,2021,24.8574,32.39376174,125.42,163.4425972,92.595,105.599,39.4755,372.5041809,7.210086,40403,59.15,6.348273534,37313.7,NA,31.24822,79.15858,18.92163,60.55266508,42.54587,52.00643,NA,NA,NA,NA,4.771,3.242,21.815,18.743,130600,130000,NA,NA
Baoji,Shaanxi,2016,8.2111,17.99503925,135.62,300.4519893,15.865,18.86,26.1116,193.214,9.3,51262,13.24102,NA,31730,91.405,7.39055,28.30366,4.69307,63.5009573,4.12566,4.32644,NA,NA,NA,NA,4.45177,1.00543,NA,NA,610300,610000,3487.15,13241.02
Baoji,Shaanxi,2017,8.1461,21.90677432,156.24,420.1514607,17.853,20.86,24.8822,219.1611,8.7,58010,16.55956,0.88454,34351,98.604,8.10818,32.58633,5.91702,72.97593295,3.26762,3.11944,NA,NA,NA,NA,2.89545,1.46689,NA,NA,610300,610000,3796.023,16559.56
Baoji,Shaanxi,2018,7.9244,20.25619899,122.21,312.3874539,17.95,23.23,26.5713,226.516,7.2,59988,20.18332,0.954,31802,NA,8.77603,33.02829,6.73641,76.75919522,5.80233,4.68838,NA,NA,0.2997,NA,3.26277,1.40893,NA,NA,610300,610000,4432.366,20183.32
Baoji,Shaanxi,2019,9.298,21.9065277,127.32,299.976757,20.677,26.362,25.1212,222.381,3.5,59050,27.2517,1.217,34446,NA,8.79796,35.02199,6.52205,74.13138955,7.39625,7.68805,NA,NA,NA,NA,2.51122,0.95518,NA,NA,610300,610000,4940.226,27251.7
Baoji,Shaanxi,2020,11.4869,21.45653895,161.79,302.2201969,26.155,30.809,24.3891,227.695,3.3,67666,34.24747,1.152,36209,NA,8.89264,36.46146,5.96394,67.06602314,7.24717,11.01955,NA,NA,NA,NA,3.10495,0.87075,NA,NA,610300,610000,4783.839,34247.47
Baoji,Shaanxi,2021,11.9029,20.0843661,172.28,290.7007006,30.337,36.904,26.062,254.871,6,77210,38.412350000000004,1.365,38741,NA,9.51538,36.51057,6.60842,69.44988009,8.06635,11.03937,NA,NA,NA,NA,NA,NA,NA,NA,610300,610000,5103.166,38412.35
Baoshan,Yunnan,2016,39.5953,80.4067372,342.96,696.4817096,24.24778,26.58,27.0426,61.239,11.1,23654,6.17254,0.266,27801,12.47,5.75064,21.26514,3.82235,66.46825397,1.01625,1.16158,NA,NA,NA,NA,NA,NA,NA,NA,530500,530000,NA,6172.54
Baoshan,Yunnan,2017,36.8525,84.31626942,241.57,554.3024818,25.021,26.77,26.1795,67.895,11,26058,8.50007,0.32,30164,13.92,6.23151,23.80304,3.91659,62.85137952,3.06635,2.47425,NA,NA,NA,NA,NA,NA,NA,NA,530500,530000,NA,8500.07
